name,comment,rate,score
肖申克的救赎,932472,1,9.6
霸王别姬,674273,2,9.5
这个杀手不太冷,884420,3,9.4
阿甘正传,752253,4,9.4
美丽人生,439166,5,9.5
千与千寻,702366,6,9.2
辛德勒的名单,403089,7,9.4
泰坦尼克号,692038,8,9.2
盗梦空间,799853,9,9.3
机器人总动员,523510,10,9.3
海上钢琴师,624155,11,9.2
三傻大闹宝莱坞,709667,12,9.1
忠犬八公的故事,484139,13,9.2
放牛班的春天,476826,14,9.2
大话西游之大圣娶亲s,516176,15,9.2
教父,360923,16,9.2
龙猫,440057,17,9.1
楚门的世界,484628,18,9.1
乱世佳人,282700,19,9.2
熔炉,281423,20,9.2
触不可及,385058,21,9.1
天堂电影院,321824,22,9.1
当幸福来敲门,565564,23,8.9
无间道,422345,24,9
星际穿越,512330,25,9.1
十二怒汉,179906,26,9.4
搏击俱乐部,417418,27,9
怦然心动,580165,28,8.9
指环王3：王者无敌,296744,29,9.1
少年派的奇幻漂流,603209,30,9
鬼子来了,241700,31,9.2
蝙蝠侠：黑暗骑士,339397,32,9
天空之城,347751,33,9
活着,282883,34,9.1
罗马假日,401453,35,8.9
大话西游之月光宝盒,416846,36,8.9
飞屋环游记,518909,37,8.9
两杆大烟枪,282991,38,9.1
窃听风暴,233065,39,9.1
飞越疯人院,287099,40,9
海豚湾,187233,41,9.3
闻香识女人,335174,42,8.9
控方证人,96965,43,9.6
V字仇杀队,433924,44,8.8
哈尔的移动城堡,364587,45,8.9
教父2,194342,46,9.1
疯狂动物城,523805,47,9.2
美丽心灵,315188,48,8.9
死亡诗社,289287,49,8.9
指环王2：双塔奇兵,279771,50,8.9
指环王1：魔戒再现,312797,51,8.9
辩护人,215302,52,9.1
情书,388517,53,8.8
饮食男女,206924,54,9.1
美国往事,180997,55,9.1
天使爱美丽,495643,56,8.7
钢琴家,208923,57,9
狮子王,290639,58,8.9
七宗罪,447262,59,8.7
被嫌弃的松子的一生,296146,60,8.9
致命魔术,354345,61,8.8
小鞋子,142364,62,9.2
素媛,187824,63,9.1
勇敢的心,301964,64,8.8
剪刀手爱德华,496661,65,8.7
音乐之声,237937,66,8.9
低俗小说,344076,67,8.8
本杰明·巴顿奇事,403986,68,8.7
黑客帝国,288671,69,8.8
沉默的羔羊,362283,70,8.7
西西里的美丽传说,358838,71,8.7
拯救大兵瑞恩,244606,72,8.9
入殓师,325004,73,8.8
