price,location,name
65000,亦庄开发区-地铁亦庄线经海路站西南角300米东侧,通泰国际公馆
30000,房山-城关街道兴东大街133号,中国铁建原香漫谷
20000,密云-北京市密云水库南2公里,万科云溪
59700,昌平-北七家京承高速北七家出口向西3公里,翡翠公园
52500,房山-长阳镇京良路南侧(京港澳高速19B出口，长阳环岛东行约3公里),中粮万科长阳半岛
180000,朝阳-东三环京广桥东北角（CCTV正北50米）,首创天禧
55000,通州-嘉创二路与兴光二街路口西南角,润枫领尚
6200,朝阳-东四环北路七号,东山condo
1920,朝阳-北五环红军营东路轻轨13号线北苑站北200米,天润福熙大道
910,房山-阎村镇紫码路西行1500米,天恒乐墅
3000,朝阳-京密路与顺黄路交叉路口往西200米,景粼原著
8800,武清-汉沽港高王路东侧,尚港华府
8000,东城-东城北河沿大街甲77号(中国进出口银行-北京分行西南100米),北河沿甲柒拾柒号
14000,武清-京津高速泗村店东出口右转直行约2公里处,鑫苑汤泉世家
25000,涿州-涿州新兴产业示范区涿州高铁东站西南方向200米,华融现代城
21000,武清-武清高村镇京津高速（二线）牛镇出口东行100米,卓达镜湖
135000,西城-西城区德外大街18号,中骏天宸
12800,武清-下朱庄街道办事处文汇路西侧,自在城
15000,武清-武清京津高速泗村店出口右转直行1800米，大东公路8号,绿洲湾8号
880,武清-大黄堡（京津高速武清泗村店东出口）,翠金湖美墅岛
7500,武清-曹子里乡杨六路北侧,津门及第
15000,怀来县-延庆石峡关景区西侧（京藏高速康庄65出口）,永恒长城里
7400,武清-天和城天和路与藕甸道交口,南湖红星国际广场
16000,武清-下朱庄街天和路西侧,润泽尚苑
125000,朝阳-朝阳公园东侧东四环姚家园路,泛海国际
13000,武清-武清中央水城滨河道与泉雍路交口东侧,亚泰澜公馆
26000,武清-京津公路西侧（广贤路与四纬路交口）,保利香颂湖
13000,武清-武清区南湖风景区天和道东侧,保利溪湖林语
72000,朝阳-京密路与顺黄路交叉路口往西200米,景粼原著
12000,武清-龙凤新城大东路北侧圣水湖畔,碧桂园忆西湖
15000,武清-武清京津第二高速牛镇出口东行2公里南侧,卓达太阳城
13000,武清-武清区梅厂镇武宁路与津围公路交口处,梅尚国际住区
1400,顺义-顺平路燕京桥M15号线石门站南1000米,中海国际公馆
20000,顺义-机场高速杨林出口西行800米,恒大丽宫
14000,武清-京津公路沿线嘉河道123号,万城聚豪
10000,武清-下朱庄街京津公路东侧,东澳广场
934,顺义-牛栏山镇昌金路与右堤路交界处,首创禧瑞山
7800,武清-杨村镇胜利路与大桥道交口,宸峰家园
11500,武清-上北新区梅石路与广贤路交口,亿利华彩城
1550,昌平-昌平地铁南邵站西100米,泰禾昌平拾景园
3800,大兴-亦庄南海子公园北侧500米,棠颂别墅
4500,昌平-北七家镇定泗路88号,北京壹号庄园
2300,昌平-北五环外紧邻立汤路，北七家建材城向北第一个路口200米路东,温哥华森林
60000,丰台-丰台区花乡四合庄汽车博物馆西路,保利佲悦大都汇
1700,大兴-博兴西路与泰河三街交叉口（南海子公园东南1千米）,金茂逸墅
15000,怀来县-怀来县东花园镇新兴产业示范区规划展馆103室,八达岭孔雀城
